temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
1.7,-2.4,-2.7,72.72,0.0,0,35.3,15.7,81,1009.6,89.4,13.2,110,0.4
2.3,-1.7,-2.1,73.05,0.0,0,33.5,15.8,79,1007.3,90.6,10.1,140,0.5
2.2,-2.5,-1.6,75.79,0.0,0,38.5,20.6,72,1004.3,100.0,10.3,105,0.4
2.2,-2.3,-1.6,75.67,0.0,0,32.0,19.4,62,1001.7,100.0,8.4,80,0.3
0.7,-4.6,-1.2,86.97,0.531,100,39.6,22.4,60,998.6,100.0,1.1,60,0.2
0.6,-5.5,-1.2,87.48,0.957,100,48.2,28.7,41,997.7,100.0,1.0,25,0.1
0.1,-6.5,-1.1,91.44,2.135,100,45.9,31.3,49,995.4,100.0,0.0,13,0.0
0.6,-6.4,-1.1,88.26,2.749,100,66.1,37.9,41,989.7,100.0,0.0,7,0.0
0.6,-6.0,-1.1,87.74,2.654,100,52.9,33.6,40,989.8,100.0,1.1,9,0.0
0.7,-5.0,-0.7,90.67,4.621,100,54.7,25.1,4,990.9,100.0,1.1,0,0.0
0.7,-5.4,-0.9,89.4,1.769,100,47.9,28.3,2,991.0,100.0,0.2,0,0.0
0.7,-5.7,-1.1,88.01,6.317,100,49.0,31.4,352,992.1,100.0,1.0,0,0.0
0.6,-5.6,-1.5,85.26,0.394,100,49.2,30.0,342,993.3,100.0,4.7,0,0.0
0.1,-6.0,-1.6,88.25,0.089,100,46.1,27.2,340,994.8,100.0,8.2,0,0.0
0.6,-5.0,-1.6,84.68,0.034,100,45.7,24.4,321,997.1,100.0,5.5,0,0.0
0.7,-5.4,-1.1,87.39,0.056,100,47.7,29.3,310,999.7,100.0,13.0,0,0.0
0.7,-4.8,-1.6,84.24,0.089,100,40.5,23.8,312,1001.7,100.0,15.9,0,0.0
0.7,-4.4,-2.1,81.24,0.034,100,39.8,20.4,311,1004.0,37.0,16.0,0,0.0
0.1,-5.3,-2.7,81.42,0.0,0,46.0,21.3,292,1006.1,45.7,16.0,0,0.0
-0.5,-5.5,-3.7,79.07,0.0,0,42.5,17.3,301,1007.7,36.4,16.0,0,0.0
-1.1,-6.2,-4.3,78.95,0.0,0,35.3,17.1,293,1009.1,0.9,16.0,2,0.0
-1.5,-7.2,-4.3,81.37,0.0,0,31.3,20.3,291,1010.7,0.9,16.0,27,0.1
-0.5,-5.1,-4.3,75.92,0.0,0,29.5,15.2,290,1010.9,1.6,16.0,108,0.4
1.2,-3.0,-3.3,71.86,0.0,0,25.9,15.2,292,1012.6,1.6,16.0,227,0.8
2.2,-1.2,-2.2,72.35,0.0,0,24.1,12.8,280,1013.4,1.6,16.0,423,1.5
2.8,-0.5,-2.1,70.15,0.0,0,22.3,12.6,250,1014.1,0.9,16.0,684,2.5
2.9,-0.1,-1.7,72.11,0.0,0,20.5,11.1,249,1014.3,0.0,16.0,705,2.5
2.9,-1.6,-1.6,72.32,0.0,0,22.3,20.1,247,1014.6,0.9,16.0,671,2.4
3.3,0.0,-1.6,69.96,0.0,0,22.3,13.3,240,1014.3,0.9,16.0,562,2.0
3.8,0.3,-1.6,68.06,0.0,0,20.5,14.4,238,1014.5,2.9,16.0,422,1.5
4.2,1.3,-1.6,66.14,0.0,0,20.5,12.0,237,1015.0,2.9,16.0,223,0.8
3.7,1.5,-1.2,70.13,0.0,0,22.3,8.7,186,1015.3,45.7,16.0,42,0.2
2.9,-0.2,-1.2,74.97,0.0,0,18.4,11.5,219,1016.1,85.0,16.0,5,0.0
2.8,0.0,-1.1,75.45,0.0,0,18.4,10.1,211,1016.6,100.0,15.9,0,0.0
2.2,-0.2,-1.1,78.5,0.0,0,18.4,8.3,212,1016.9,100.0,15.9,0,0.0
2.2,-0.2,-1.6,75.9,0.0,0,18.4,8.5,239,1016.9,100.0,11.1,0,0.0
2.2,-0.6,-0.7,81.32,0.026,100,18.4,9.6,230,1017.3,100.0,12.8,0,0.0
1.7,0.0,-0.6,84.31,0.0,0,18.4,6.0,209,1016.9,100.0,11.0,0,0.0
1.7,-0.1,0.0,88.46,0.0,0,18.4,5.9,245,1017.4,100.0,10.0,0,0.0
2.1,-1.0,-0.7,81.56,0.0,0,18.4,11.1,239,1017.7,100.0,10.9,0,0.0
2.9,-1.1,-0.1,80.78,0.0,0,35.3,16.9,270,1018.5,88.4,10.3,0,0.0
2.3,-1.6,-0.6,81.09,0.0,0,20.5,15.2,261,1019.4,44.0,10.1,0,0.0
2.7,-0.8,-0.6,78.71,0.0,0,20.5,13.2,280,1020.4,89.6,13.5,0,0.0
2.9,-0.3,-0.7,77.56,0.0,0,18.4,11.9,280,1021.5,90.3,15.8,0,0.0
2.2,-0.7,-1.1,78.5,0.0,0,18.4,10.3,279,1022.5,97.2,13.3,7,0.0
