name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ann Arbor,2023-06-30T00:00:00,21.6,21.6,16.6,73.14,0,0,,0,0,9.4,11.1,79,1011.2,2.9,5.1,2,0,0,5,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-06-30T01:00:00,20.7,20.7,16.7,77.76,0,0,,0,0,9.4,5.7,30,1011.7,55.6,5.1,2,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-06-30T02:00:00,20.7,20.7,16.7,77.84,0,0,,0,0,7.6,8.8,35,1011.8,94.4,5.1,1,0,0,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-06-30T03:00:00,18.7,18.7,16.2,85.33,0,0,,0,0,7.6,0.8,33,1011.4,3.2,5.1,0,0,0,5,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-06-30T04:00:00,16.6,16.6,15.8,95.04,0,0,,0,0,5.4,0,0,1011.4,3.2,4.3,0,0,0,5,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-06-30T05:00:00,16.4,16.4,15.2,92.37,0,0,,0,0,11.2,4.9,131,1011.5,3.2,3.4,0,0,0,5,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-06-30T06:00:00,15.9,15.9,14.6,91.76,0,0,,0,0,11.2,1,47,1011.6,79.8,2.5,4,0,0,5,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-06-30T07:00:00,16.7,16.7,15.6,92.87,0,0,,0,0,13,0.7,334,1012.2,7.3,2.3,36,0.1,0,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857"
Ann Arbor,2023-06-30T08:00:00,19.4,19.4,17.8,90.92,0,0,,0,0,14.8,6,173,1012.5,2.9,4,147,0.5,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-06-30T09:00:00,21.2,21.2,18.4,83.97,0,0,,0,0,16.6,7.6,201,1013.2,7.2,5,317,1.1,3,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-06-30T10:00:00,22.9,22.9,18.8,77.85,0,0,,0,0,16.6,5.8,167,1013.2,1.6,4.4,477,1.7,5,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
