temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
0.9,-2.1,-0.6,89.56,0.0,0,26.3,9.5,281,1015.5,98.8,13.4,22,0.1,0
1.4,-2.3,-0.5,87.11,0.0,0,26.3,12.9,284,1016.0,100.0,10.9,52,0.2,1
2.0,-1.6,0.1,87.46,0.0,0,20.2,13.2,275,1016.4,100.0,10.9,94,0.3,1
2.5,-0.4,0.7,88.07,0.0,0,21.2,10.3,290,1017.1,100.0,6.5,104,0.4,1
3.2,0.5,0.8,84.24,0.0,0,17.3,10.1,306,1017.4,100.0,13.4,118,0.4,1
3.7,0.2,0.8,81.11,0.0,0,22.7,14.9,299,1017.8,100.0,16.0,194,0.7,2
4.6,1.9,0.8,76.08,0.0,0,22.7,11.6,329,1017.9,100.0,16.0,237,0.9,2
6.3,3.6,1.1,69.21,0.0,0,27.7,13.7,333,1017.6,100.0,16.0,305,1.1,3
6.8,3.8,0.6,64.43,0.0,0,26.3,16.6,302,1017.5,90.6,16.0,295,1.1,3
8.3,6.0,-0.1,55.46,0.0,0,31.7,14.4,302,1017.4,99.6,16.0,288,1.0,3
7.4,5.0,-1.1,54.76,0.0,0,18.7,13.1,343,1017.4,90.3,16.0,191,0.7,2
6.9,5.3,-1.1,56.84,0.0,0,18.0,8.5,329,1017.6,99.6,16.0,60,0.2,1
6.4,5.5,-1.1,58.75,0.0,0,15.5,5.5,43,1018.0,100.0,16.0,10,0.0,0
4.7,4.7,-0.6,68.44,0.0,0,5.0,0.9,6,1018.6,100.0,16.0,0,0.0,0
1.6,1.6,-1.5,79.57,0.0,0,6.5,0.8,27,1018.7,51.3,16.0,0,0.0,0
1.2,1.2,-1.9,79.72,0.0,0,3.2,0.6,31,1018.7,89.0,16.0,0,0.0,0
1.2,1.2,-1.4,82.71,0.0,0,4.0,0.9,27,1018.4,14.0,16.0,0,0.0,0
0.0,-2.1,-2.0,86.74,0.0,0,8.6,6.0,93,1018.0,3.2,16.0,0,0.0,0
-0.3,-0.3,-2.5,84.66,0.0,0,11.2,0.2,8,1017.8,3.2,15.9,0,0.0,0
-0.3,-0.3,-1.5,91.53,0.0,0,11.2,0.8,33,1017.5,3.2,15.9,0,0.0,0
1.0,1.0,-1.0,86.69,0.0,0,11.9,0.2,10,1016.9,82.5,15.7,0,0.0,0
1.8,1.8,0.0,87.27,0.0,0,14.0,4.8,140,1016.3,100.0,13.1,0,0.0,0
2.3,1.1,-0.5,82.14,0.0,0,14.4,4.9,168,1016.1,100.0,13.4,0,0.0,0
2.3,-0.7,-0.4,81.89,0.0,0,16.9,10.8,147,1015.4,100.0,13.1,0,0.0,0
3.0,0.7,-0.4,78.72,0.0,0,19.1,8.1,158,1016.3,100.0,13.3,7,0.0,0
3.0,0.0,0.1,81.32,0.313,100,24.8,11.7,168,1016.5,100.0,7.7,45,0.2,0
3.0,0.0,0.7,84.89,0.628,100,27.7,11.7,148,1016.2,100.0,8.0,44,0.2,0
2.1,-1.8,0.3,88.0,1.687,100,25.2,14.9,159,1016.2,100.0,4.3,53,0.2,1
1.0,-2.7,-0.4,90.03,2.694,100,23.0,12.6,141,1015.6,100.0,1.6,61,0.2,1
1.4,-2.7,0.1,91.29,0.735,100,26.6,15.3,121,1014.2,100.0,6.1,105,0.4,1
4.0,0.0,2.2,88.07,0.033,100,27.7,18.5,130,1013.1,100.0,8.4,241,0.9,2
5.1,1.7,2.9,85.54,0.0,0,26.6,16.1,150,1012.5,100.0,13.4,149,0.5,1
5.1,1.6,3.3,88.07,0.0,0,24.8,17.2,139,1011.9,100.0,11.6,116,0.4,1
5.2,2.8,3.3,87.67,0.0,0,25.2,10.5,129,1011.7,100.0,11.4,91,0.3,1
5.2,2.3,3.3,87.8,0.0,0,27.0,13.4,120,1010.8,100.0,10.4,51,0.2,1
5.2,2.1,3.3,87.77,0.0,0,23.0,14.6,108,1010.4,100.0,10.5,28,0.1,0
5.2,2.6,3.3,87.77,0.0,0,25.6,11.4,78,1010.3,100.0,10.0,10,0.0,0
5.2,2.9,3.4,88.25,0.0,0,24.5,9.8,80,1010.3,100.0,10.2,0,0.0,0
4.6,3.3,2.9,88.91,0.0,0,20.2,6.0,88,1010.5,57.2,8.1,0,0.0,0
2.5,-0.1,1.3,91.72,0.0,0,7.2,9.2,334,1011.0,4.7,5.3,0,0.0,0
2.5,2.5,1.7,94.7,0.0,0,14.0,1.2,352,1011.2,92.8,4.3,0,0.0,0
1.8,1.8,1.1,95.12,0.0,0,11.9,1.1,355,1010.9,25.2,2.7,0,0.0,0
-0.1,-0.1,-1.2,92.55,0.0,0,17.6,1.1,347,1011.4,100.0,0.1,0,0.0,0
-2.0,-4.5,-2.7,95.03,0.0,0,17.6,6.3,246,1011.1,57.4,0.4,0,0.0,0
1.1,-0.3,0.4,95.43,0.0,0,9.7,5.0,265,1011.3,100.0,5.2,0,0.0,0
0.4,0.4,-0.4,94.19,0.0,0,6.5,2.6,254,1011.0,92.0,1.0,0,0.0,0
2.3,0.8,1.1,92.3,0.0,0,15.8,5.6,300,1011.4,100.0,7.5,0,0.0,0
