temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
18.1,18.1,15.7,85.97,0.0,0.0,11.2,7.6,300.0,1020.0,0.8,16.0,0,0.0,0
18.6,18.6,16.2,86.13,0.0,0.0,11.2,10.8,292.0,1020.5,1.7,16.0,0,0.0,0
15.4,15.4,14.6,94.76,0.0,0.0,9.4,0.6,355.0,1020.6,0.8,11.7,0,0.0,0
14.3,14.3,14.1,98.72,0.0,0.0,11.2,0.8,358.0,1020.7,0.8,3.2,0,0.0,0
14.3,14.3,14.1,98.83,0.0,0.0,11.2,0.3,1.0,1020.9,50.0,4.6,0,0.0,0
17.3,17.3,16.2,93.26,0.0,0.0,13.0,5.5,40.0,1020.8,83.7,14.2,0,0.0,0
16.8,16.8,15.8,93.64,0.0,0.0,13.0,5.8,26.0,1021.1,34.3,16.0,0,0.0,0
16.8,16.8,15.1,90.06,0.0,0.0,13.0,5.4,17.0,1021.5,48.4,15.9,20,0.1,0
18.4,18.4,16.2,87.3,0.0,0.0,14.8,9.6,352.0,1022.1,88.0,15.9,95,0.3,1
20.6,20.6,16.6,77.67,0.0,0.0,14.8,9.4,6.0,1022.5,34.3,16.0,306,1.1,3
20.0,20.0,16.7,81.3,0.0,2.0,14.8,9.4,0.0,1022.0,39.0,16.2,465,1.7,5
21.7,21.7,16.2,70.93,0.0,2.0,16.6,11.2,0.0,1022.0,27.0,16.2,637,2.3,6
22.8,22.8,15.6,63.84,0.3,2.0,16.6,11.2,350.0,1022.0,27.0,16.2,661,2.4,7
23.9,23.9,15.0,57.48,0.0,2.0,16.6,11.2,350.0,1022.0,22.0,16.2,751,2.7,8
24.5,24.5,14.5,53.69,0.0,0.0,16.6,13.0,350.0,1022.0,22.0,16.2,832,3.0,8
25.0,25.0,14.5,52.11,0.0,0.0,16.6,11.2,350.0,1022.0,20.0,16.2,849,3.1,8
25.6,25.6,13.9,48.37,0.0,0.0,16.6,11.2,350.0,1022.0,15.0,16.2,801,2.9,8
25.0,25.0,13.9,50.12,0.0,0.0,16.6,13.0,350.0,1021.0,11.0,16.2,684,2.5,7
24.5,24.5,13.4,49.99,0.0,0.0,16.6,11.2,350.0,1021.0,9.0,16.2,527,1.9,5
23.9,23.9,13.4,51.82,0.0,0.0,16.6,11.2,350.0,1021.0,5.0,16.2,352,1.3,4
22.3,22.3,13.4,57.09,0.0,0.0,16.6,9.4,360.0,1021.0,9.0,16.2,209,0.8,2
20.6,20.6,13.4,63.36,0.0,0.0,14.8,7.6,10.0,1021.0,10.0,16.2,8,0.0,0
18.4,18.4,13.4,72.65,0.0,0.0,11.2,5.4,30.0,1021.0,7.0,16.2,5,0.0,0
17.3,17.3,13.4,77.85,0.0,0.0,11.2,5.4,60.0,1021.0,6.0,16.2,3,0.0,0
16.2,16.2,13.4,83.49,0.0,0.0,11.2,5.4,70.0,1022.0,4.0,16.2,3,0.0,0
15.0,15.0,13.4,90.16,0.0,0.0,9.4,5.4,80.0,1022.0,2.0,16.2,2,0.0,0
14.5,14.5,12.8,89.53,0.0,0.0,9.4,3.6,80.0,1022.0,3.0,16.2,2,0.0,0
