temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
21.6,21.6,16.6,73.14,0.0,0,9.4,11.1,79,1011.2,2.9,5.1,2,0.0
20.7,20.7,16.7,77.76,0.0,0,9.4,5.7,30,1011.7,55.6,5.1,2,0.0
20.7,20.7,16.7,77.84,0.0,0,7.6,8.8,35,1011.8,94.4,5.1,1,0.0
18.7,18.7,16.2,85.33,0.0,0,7.6,0.8,33,1011.4,3.2,5.1,0,0.0
16.6,16.6,15.8,95.04,0.0,0,5.4,0.0,0,1011.4,3.2,4.3,0,0.0
16.4,16.4,15.2,92.37,0.0,0,11.2,4.9,131,1011.5,3.2,3.4,0,0.0
15.9,15.9,14.6,91.76,0.0,0,11.2,1.0,47,1011.6,79.8,2.5,4,0.0
16.7,16.7,15.6,92.87,0.0,0,13.0,0.7,334,1012.2,7.3,2.3,36,0.1
19.4,19.4,17.8,90.92,0.0,0,14.8,6.0,173,1012.5,2.9,4.0,147,0.5
21.2,21.2,18.4,83.97,0.0,0,16.6,7.6,201,1013.2,7.2,5.0,317,1.1
22.9,22.9,18.8,77.85,0.0,0,16.6,5.8,167,1013.2,1.6,4.4,477,1.7
24.4,24.4,19.9,76.2,0.0,0,16.6,5.6,220,1013.3,28.3,5.2,645,2.3
26.6,26.6,20.6,69.8,0.0,0,18.4,5.4,232,1013.2,44.4,6.0,608,2.2
27.8,29.7,20.6,65.13,0.0,0,20.5,4.9,323,1013.1,55.6,6.0,719,2.6
29.3,30.9,19.6,55.98,0.0,0,20.5,6.7,294,1012.4,29.6,7.9,891,3.2
30.4,32.1,19.5,52.15,0.0,0,13.0,8.6,232,1012.3,12.8,9.9,760,2.7
29.4,31.0,19.6,55.76,0.0,0,14.8,11.1,297,1012.6,28.3,10.9,578,2.1
29.9,31.4,19.2,52.56,0.0,0,31.7,15.0,243,1012.5,12.8,11.0,472,1.7
29.9,31.6,19.7,54.3,0.0,0,24.1,10.9,224,1012.2,2.9,10.1,344,1.2
28.4,30.8,21.2,64.95,0.0,0,20.5,14.0,208,1012.2,79.1,8.4,160,0.6
27.3,29.3,21.2,69.38,0.0,0,18.4,10.1,189,1011.3,2.9,8.4,69,0.2
25.2,25.2,21.2,78.58,0.0,0,18.4,7.6,229,1011.5,2.9,8.2,16,0.1
25.2,25.2,20.7,76.12,0.0,0,14.8,10.0,235,1012.3,89.0,10.1,2,0.0
24.2,24.2,19.6,75.57,0.0,0,14.8,8.3,238,1012.9,8.8,10.1,2,0.0
23.1,23.1,19.6,80.42,0.0,0,13.0,8.1,231,1012.7,79.5,10.1,2,0.0
22.1,22.1,19.5,85.21,0.0,0,11.2,1.3,332,1012.7,46.0,8.5,1,0.0
22.0,22.0,19.5,85.99,0.0,0,11.2,1.2,331,1012.5,79.5,8.3,1,0.0
21.5,21.5,19.5,88.3,0.0,0,9.4,8.4,190,1012.2,3.2,8.4,0,0.0
19.5,19.5,18.8,95.49,0.0,0,9.4,0.1,357,1012.7,12.0,4.7,0,0.0
18.2,18.2,17.7,96.91,0.0,0,7.6,0.1,5,1012.1,1.6,4.3,0,0.0
17.7,17.7,17.0,96.11,0.0,0,7.6,1.1,30,1012.2,56.8,2.4,4,0.0
19.0,19.0,18.1,94.53,0.0,0,7.6,5.6,119,1012.4,5.8,3.4,35,0.1
21.9,21.9,19.9,88.59,0.0,0,9.4,1.1,314,1012.3,3.2,4.8,154,0.6
23.9,23.9,20.6,81.38,0.0,0,11.2,9.8,181,1012.2,2.9,8.9,338,1.2
25.1,25.1,20.1,73.65,0.0,0,13.0,9.0,195,1012.5,29.6,8.5,425,1.5
26.2,26.2,20.6,71.24,0.0,0,14.8,7.8,209,1012.3,3.2,8.7,355,1.3
26.8,28.4,20.7,69.16,0.0,0,14.8,11.2,199,1012.2,46.0,10.4,465,1.7
26.8,28.4,20.6,69.01,0.0,0,16.6,12.4,182,1011.5,36.4,10.1,399,1.4
25.8,25.8,20.6,73.0,0.0,0,16.6,9.9,215,1011.4,83.9,11.2,158,0.6
21.2,21.2,19.4,89.1,1.666,100,47.9,0.6,343,1011.5,100.0,7.5,57,0.2
22.9,22.9,20.7,87.14,0.564,100,18.4,6.2,31,1010.5,57.2,16.0,302,1.1
24.4,24.4,20.7,79.69,0.257,100,16.6,4.6,129,1009.9,36.0,16.0,480,1.7
26.0,26.0,19.7,67.94,0.0,0,14.8,7.9,173,1010.0,25.1,16.0,427,1.5
25.1,25.1,20.8,77.1,0.0,0,14.8,8.4,184,1009.0,4.5,16.0,230,0.8
25.0,25.0,21.1,79.21,0.0,0,13.0,5.6,172,1009.2,47.3,16.0,57,0.2
23.4,23.4,21.6,89.45,0.257,100,11.2,0.2,12,1009.4,98.8,6.6,3,0.0
21.9,21.9,19.6,86.78,0.033,100,25.9,7.1,319,1009.9,100.0,15.3,5,0.0
20.8,20.8,19.5,92.24,1.846,100,7.6,6.3,188,1011.1,98.8,4.2,3,0.0
20.7,20.7,19.9,95.2,1.63,100,7.6,0.8,31,1009.7,100.0,11.4,2,0.0
20.6,20.6,19.3,92.27,0.465,100,7.6,0.8,22,1008.6,91.9,16.0,2,0.0
19.5,19.5,18.9,96.31,2.099,100,7.6,0.1,5,1008.4,28.3,5.7,2,0.0
20.1,20.1,19.4,95.61,0.0,0,7.6,0.0,0,1007.9,28.8,10.9,0,0.0
20.1,20.1,19.4,95.56,0.0,0,9.4,0.0,0,1007.5,77.9,10.9,0,0.0
20.1,20.1,18.9,92.98,0.0,0,9.4,1.0,360,1007.0,80.9,8.5,0,0.0
20.7,20.7,19.4,92.34,0.0,0,9.4,0.8,12,1006.8,90.4,9.9,0,0.0
20.7,20.7,19.4,91.98,0.033,100,9.4,0.0,0,1007.0,100.0,8.1,10,0.0
21.2,21.2,20.6,96.1,0.0,0,9.4,0.1,354,1007.1,57.2,8.3,82,0.3
21.7,21.7,20.6,93.36,0.0,0,11.2,0.2,356,1007.4,100.0,8.4,77,0.3
22.8,22.8,21.1,89.76,0.257,100,13.0,9.8,248,1008.0,100.0,13.2,125,0.5
22.3,22.3,20.7,90.48,0.257,100,14.8,5.8,285,1007.9,98.8,9.1,105,0.4
23.8,23.8,21.7,88.14,0.585,100,14.8,7.6,358,1008.1,100.0,9.5,331,1.2
24.4,24.4,21.2,82.34,0.344,100,16.6,7.4,315,1008.2,90.5,16.0,422,1.5
23.6,23.6,21.1,85.93,0.0,0,16.6,11.7,266,1008.5,98.8,6.4,111,0.4
22.3,22.3,21.1,93.31,3.667,100,59.0,7.8,186,1008.5,100.0,9.0,170,0.6
24.8,24.8,21.1,79.92,0.396,100,14.8,0.2,350,1007.7,82.2,16.0,480,1.7
24.6,24.6,20.0,75.9,0.262,100,13.0,0.1,355,1007.4,88.4,16.0,229,0.8
24.6,24.6,20.1,76.14,0.0,0,14.8,0.2,350,1007.2,1.4,16.0,90,0.3
22.7,22.7,19.1,79.91,0.0,0,18.4,8.9,15,1007.5,90.3,16.0,164,0.6
22.2,22.2,19.3,84.02,0.485,100,20.5,7.7,35,1007.6,55.8,15.8,66,0.2
21.2,21.2,19.3,89.07,0.024,100,18.4,7.3,46,1007.1,26.5,16.0,19,0.1
20.7,20.7,19.3,91.77,0.0,0,16.6,7.2,33,1007.0,5.9,16.0,2,0.0
20.1,20.1,18.9,92.67,0.0,0,14.8,8.4,20,1008.2,55.6,16.0,2,0.0
20.7,20.7,19.4,91.98,0.0,0,14.8,5.4,43,1008.6,90.6,15.0,2,0.0
20.7,20.7,19.4,91.98,0.0,0,13.0,0.0,0,1008.4,98.8,8.1,1,0.0
20.1,20.1,18.9,92.61,0.0,0,13.0,5.7,18,1008.3,26.7,5.7,1,0.0
20.7,20.7,19.4,92.34,0.0,0,13.0,7.5,3,1007.9,90.5,12.5,0,0.0
20.1,20.1,18.9,93.04,0.0,0,14.8,0.7,35,1008.2,38.0,10.1,0,0.0
20.7,20.7,19.4,92.34,0.033,100,14.8,0.6,335,1008.4,100.0,7.8,0,0.0
20.7,20.7,19.4,92.02,0.073,100,14.8,1.3,348,1008.6,100.0,5.8,0,0.0
20.7,20.7,19.4,92.27,0.029,100,16.6,9.5,349,1009.4,100.0,1.9,9,0.0
20.7,20.7,19.4,92.4,0.204,100,16.6,11.7,354,1010.1,100.0,4.3,67,0.2
21.8,21.8,19.5,86.75,0.0,0,18.4,11.3,358,1010.3,98.6,11.2,122,0.4
23.4,23.4,19.5,78.76,0.0,0,20.5,8.1,350,1010.4,88.1,13.4,346,1.2
23.9,23.9,19.5,76.33,0.0,0,22.3,11.4,360,1010.5,97.8,14.3,430,1.5
24.5,24.5,19.5,73.94,0.0,0,22.3,7.6,357,1010.9,97.8,16.0,606,2.2
27.0,28.5,19.9,65.2,0.0,0,22.3,12.8,336,1010.6,89.2,15.9,522,1.9
27.2,28.7,19.9,64.54,0.0,0,22.3,10.2,353,1010.6,83.2,16.0,715,2.6
28.2,30.0,20.2,61.72,0.0,0,22.3,10.4,338,1010.8,30.5,8.7,838,3.0
28.9,30.3,19.3,56.25,0.0,0,22.3,14.7,338,1010.9,78.2,16.0,742,2.7
28.9,30.2,18.9,54.85,0.0,0,27.7,14.5,5,1010.7,5.0,16.0,661,2.4
28.5,29.7,18.9,56.07,0.0,0,29.5,13.8,338,1010.8,8.4,16.0,449,1.6
28.0,29.0,18.5,56.24,0.0,0,18.4,14.5,352,1010.7,11.3,16.0,218,0.8
28.0,29.0,18.5,56.26,0.0,0,16.6,11.5,341,1010.7,12.1,16.0,140,0.5
26.2,26.2,18.9,64.2,0.0,0,13.0,5.8,52,1011.2,11.5,16.0,28,0.1
21.1,21.1,19.0,87.47,0.0,0,9.4,1.0,39,1012.0,1.6,16.0,3,0.0
22.0,22.0,18.9,82.59,0.0,0,9.4,0.2,7,1012.9,1.6,16.0,3,0.0
20.3,20.3,18.9,91.49,0.0,0,7.6,0.0,0,1013.8,1.6,14.2,3,0.0
18.5,18.5,17.7,95.32,0.0,0,7.6,0.0,0,1014.2,0.0,3.4,2,0.0
18.3,18.3,17.4,94.78,0.0,0,5.4,0.0,0,1013.5,1.4,1.1,2,0.0
18.5,18.5,17.9,96.3,0.0,0,3.6,7.1,257,1013.7,1.4,5.6,0,0.0
17.2,17.2,16.5,95.73,0.0,0,3.6,6.6,247,1014.1,1.4,1.1,0,0.0
18.5,18.5,17.9,96.46,0.0,0,3.6,0.8,339,1014.3,77.9,2.6,0,0.0
17.1,17.1,16.4,95.86,0.0,0,3.6,0.1,357,1014.7,43.5,0.8,3,0.0
17.5,17.5,17.1,97.76,0.0,0,3.6,0.0,0,1015.3,1.5,0.8,40,0.1
21.0,21.0,19.9,93.75,0.0,0,7.6,0.0,0,1015.1,0.9,10.9,184,0.7
24.3,24.3,19.9,76.38,0.0,0,9.4,4.6,258,1015.4,0.9,16.0,351,1.3
26.1,26.1,20.5,71.15,0.0,0,13.0,9.1,197,1015.7,0.0,16.0,535,1.9
27.1,28.7,20.0,65.23,0.0,0,13.0,9.0,239,1016.1,0.9,16.0,603,2.2
28.7,29.8,18.6,54.55,0.0,0,14.8,11.1,246,1016.2,1.6,16.0,857,3.1
28.4,29.5,18.6,55.16,0.0,0,16.6,7.6,265,1015.7,4.7,16.0,825,3.0
30.1,31.1,18.4,49.64,0.0,0,14.8,5.5,281,1015.6,11.5,16.0,431,1.6
30.6,31.6,18.4,48.1,0.0,0,16.6,7.0,312,1015.3,35.2,16.0,617,2.2
30.7,32.0,18.8,48.99,0.0,0,16.6,8.0,323,1014.8,47.5,16.0,741,2.7
31.1,32.2,18.5,47.2,0.0,0,13.0,8.3,233,1014.7,36.4,11.7,694,2.5
29.9,31.8,20.1,55.77,0.0,0,14.8,11.5,170,1014.3,90.3,16.0,455,1.6
29.3,30.9,19.6,55.91,0.0,0,16.6,9.8,184,1014.1,87.1,16.0,331,1.2
27.9,29.9,20.7,64.86,0.0,0,9.4,10.1,169,1014.5,24.5,16.0,156,0.6
26.7,28.5,21.1,71.2,0.0,0,9.4,6.2,160,1014.4,77.1,16.0,31,0.1
24.4,24.4,21.0,81.48,0.0,0,7.6,5.4,160,1015.2,43.7,13.4,0,0.0
22.1,22.1,19.9,87.35,0.0,0,5.4,5.2,164,1015.8,0.9,15.9,0,0.0
20.9,20.9,19.9,93.83,0.0,0,7.6,0.0,0,1015.9,0.9,10.4,0,0.0
19.7,19.7,18.5,92.52,0.0,0,7.6,0.2,12,1015.8,0.9,10.8,0,0.0
19.9,19.9,18.4,91.52,0.0,0,5.4,0.0,0,1016.0,0.9,5.2,0,0.0
18.6,18.6,18.0,96.01,0.0,0,7.6,0.0,0,1016.1,24.4,3.8,0,0.0
18.3,18.3,17.4,94.65,0.0,0,7.6,4.8,256,1015.6,44.3,3.9,0,0.0
17.7,17.7,17.0,95.69,0.0,0,7.6,0.0,0,1015.5,87.8,3.5,0,0.0
17.5,17.5,16.9,96.25,0.0,0,7.6,0.3,346,1015.8,0.0,1.3,5,0.0
18.3,18.3,18.0,98.27,0.0,0,7.6,4.7,248,1015.8,1.4,3.4,78,0.3
21.4,21.4,20.6,94.79,0.0,0,7.6,0.8,326,1015.9,1.6,6.0,234,0.8
25.7,25.7,19.9,70.49,0.0,0,9.4,0.2,349,1015.9,1.6,13.4,429,1.5
27.9,29.5,20.0,62.25,0.0,0,11.2,7.4,229,1015.5,1.6,16.0,544,2.0
28.9,30.7,20.1,59.0,0.0,0,13.0,7.5,231,1015.3,1.6,16.0,767,2.8
29.9,31.5,19.4,53.34,0.0,0,14.8,11.2,220,1015.2,4.7,16.0,883,3.2
30.1,31.7,19.4,52.81,0.0,0,14.8,9.2,200,1015.1,47.5,16.0,983,3.5
30.0,31.5,19.3,52.99,0.0,0,14.8,12.9,215,1014.8,50.0,16.0,1006,3.6
31.0,32.7,19.5,50.25,0.0,0,14.8,11.2,172,1014.7,4.7,16.0,1038,3.7
