name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ann Arbor,2024-06-30T00:00:00,22.8,22.8,20.8,88.6,0,0,,0,0,18.4,9.9,260,1012.7,8.4,14.3,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T01:00:00,22.4,22.4,20.7,90.05,0,0,,0,0,22.3,9.5,244,1012.8,1.6,14.3,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T02:00:00,23.3,23.3,21.1,87.46,0,0,,0,0,24.1,12.8,263,1013.4,87.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T03:00:00,23,23,18.9,77.96,0,0,,0,0,33.5,15.5,291,1013.8,30.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T04:00:00,21.3,21.3,17.9,80.97,0,0,,0,0,27.7,11.7,310,1014.2,1.6,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T05:00:00,20.7,20.7,16.8,78.03,0,0,,0,0,37.1,14.8,327,1015.1,24.5,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T06:00:00,18.2,18.2,14.6,79.68,0,0,,0,0,38.9,21.9,330,1016.8,48.7,16,5,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T07:00:00,16.4,16.4,12.2,76.41,0,0,,0,0,38.9,20.1,330,1017.8,1.6,16,132,0.5,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T08:00:00,15.8,15.8,11.2,74.48,0,0,,0,0,34.1,18.4,335,1018.9,99.6,16,81,0.3,1,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T09:00:00,15.7,15.7,10.1,69.12,0,0,,0,0,35.3,21.9,327,1019.5,56.8,16,156,0.6,2,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
