name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ann Arbor,2023-03-01T00:00:00,-0.4,-0.4,-2.6,84.79,0,0,,0,0,16.6,0.9,42,1014.6,2.9,15.9,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T01:00:00,0,0,-2.7,82.37,0,0,,0,0,18.4,0,0,1014.3,3.2,11.3,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T02:00:00,1,-1.8,-0.8,88,0,0,,0,0,22.3,8.9,88,1012.8,85,12.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T03:00:00,1.7,-1.6,-0.6,84.4,0,0,,0,0,25.9,11.3,81,1011.3,46,11.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T04:00:00,2.2,-0.6,-0.7,81.24,0,0,,0,0,29.5,9.8,35,1011.2,100,13.2,0,0,0,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T05:00:00,2.2,-1.9,-0.6,81.45,0.302,100,rain,0,0,27.7,16.6,48,1011.5,100,6.7,0,0,0,10,"Rain, Overcast",rain,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T06:00:00,1.7,-1.5,-0.6,84.56,0.044,100,"rain,snow",0,0,31.3,11.1,70,1010.7,100,9.9,0,0,0,10,"Snow, Rain, Overcast",rain,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T07:00:00,1.8,-1.6,-0.6,83.98,0,0,,0,0,33.5,11.9,69,1010,100,8,0,0,0,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,KDTW"
Ann Arbor,2023-03-01T08:00:00,2.3,-0.7,-0.6,81.03,0,0,,0,0,29.5,10.5,89,1009.2,89,8.7,28,0.1,0,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-03-01T09:00:00,2.9,-1,-0.6,77.4,0,0,,0,0,29.5,16.5,79,1009.6,99.6,13.4,73,0.3,1,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-03-01T10:00:00,3.4,-0.1,0,78.22,0,0,,0,0,27.7,14.6,110,1009,100,13.4,192,0.7,2,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-03-01T11:00:00,5.7,3.9,1.2,72.81,0,0,,0,0,24.1,8.1,150,1008.4,32.1,16,376,1.4,4,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-03-01T12:00:00,7.2,7.2,1.7,68.07,0,0,,0,0,13,1.9,328,1008.4,63.2,16,595,2.1,6,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857"
Ann Arbor,2023-03-01T13:00:00,8.3,6.7,2.7,68.11,0,0,,0,0,13,9.3,121,1007.8,43.7,16,668,2.4,7,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-03-01T14:00:00,10,8.8,3.3,63.33,0,0,,0,0,13,8.9,180,1007.8,24.5,16,606,2.2,6,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-03-01T15:00:00,10.6,10.6,3.4,60.89,0,0,,0,0,13,5.2,105,1006.9,0.9,16,512,1.8,5,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
Ann Arbor,2023-03-01T16:00:00,11.7,11.7,4.3,60.55,0,0,,0,0,13,9.4,159,1006.1,0.9,16,373,1.3,4,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,F8857,KDTW"
